SKILL_20150317_000001	Ataque
SKILL_20150317_000098	[Medakia] Esmaga o Chão
SKILL_20150317_000099	[Wheelen] Tapa de Duas Mãos
SKILL_20150317_000100	[Mauros] Físico, Impacto, Ataca com Propriedade Sombria uma vez
SKILL_20150317_000101	[Mauros] Físico, Impacto, Esmaga com Propriedade Sombria uma vez
SKILL_20150317_000102	[Sauga] Ataque Físico, Ataca com Propriedade Terra uma vez
SKILL_20150317_000103	[Sauga] Físico, Impacto, Esmaga o Chão com Propriedade Terra
SKILL_20150317_000104	Ataque Normal da Abóbora.
SKILL_20150317_000105	Ataque 2
SKILL_20150317_000106	Ataque Normal da Abóbora 2.
SKILL_20150317_000107	[Sacerdote Saurman] Ataque Normal.
SKILL_20150317_000108	Habilidades
SKILL_20150317_000109	[Sacerdote Saurman] Habilidades.
SKILL_20150317_000110	Ataque Normal do Saurman.
SKILL_20150317_000111	Ataque Normal do Saurman 2.
SKILL_20150317_000112	Ataque Normal do Garoto Fantasma.
SKILL_20150317_000113	Habilidades do Garoto Fantasma
SKILL_20150317_000114	Ataque Normal do Tio Fantasma
SKILL_20150317_000115	Habilidades do Tio Fantasma
SKILL_20150317_000116	Ataque Normal do Goble Elite.
SKILL_20150317_000117	Ataque Normal do Goble Elite 2.
SKILL_20150317_000118	Ataque Normal do Zumbi Parafuso.
SKILL_20150317_000119	Ataque Normal do Zumbi Parafuso 2.
SKILL_20150317_000120	Ataque Normal do Zumbi em Fúria.
SKILL_20150317_000121	Ataque Normal do Zumbi Vela.
SKILL_20150317_000122	Ataque Normal do Zumbi Arqueiro.
SKILL_20150317_000123	[Grande Vubbe] Físico, Cortante, Propriedade Água, Ataque Normal
SKILL_20150317_000124	[Grande Vubbe Arqueiro] Alcance, Perfurante, Propriedade Água, Ataque Normal
SKILL_20150317_000125	Ataque Normal da Garota Fantasma.
SKILL_20150317_000126	Habilidades da Garota Fantasma.
SKILL_20150317_000127	Ataque Normal da Madame Fantasma.
SKILL_20150317_000128	Habilidades da Madame Fantasma.
SKILL_20150317_000129	Ataque Normal do Olho de Mirtis.
SKILL_20150317_000130	Ataque Normal do Olho de Mirtis 2.
SKILL_20150317_000131	Ataque Normal do Espéctro Elite.
SKILL_20150317_000132	Ataque Normal do Espéctro Elite 2.
SKILL_20150317_000133	[Chinency] Físico, Impacto, Propriedade Terra, Avança e ataca com a cabeça
SKILL_20150317_000134	[Popolion] Físico, Impacto, Propriedade Terra, Cabeçada
SKILL_20150317_000135	[Popolion] Físico, Impacto, Propriedade Terra, Onda Sônica
SKILL_20150317_000136	[Range Chinency] Ataque Normal, Projétil
SKILL_20150317_000137	[Range Chinency] Habilidade 1, Projétil, Induz Empurrão
SKILL_20150317_000138	[Chupacabra] Físico, Impacto, Propriedade Terra, Cabeçada
SKILL_20150317_000139	[Chupacabra] Físico, Impacto, Propriedade Terra, Pula e Pisoteia
SKILL_20150317_000140	[Chupacabra] Chupa Normal Ataque 3
SKILL_20150317_000141	[Chupacabra] Chupa Normal Ataque 4
SKILL_20150317_000142	Ataque Normal do Espéctro.
SKILL_20150317_000143	Ataque Normal do Espírito da Madeira.
SKILL_20150317_000144	Ataque Normal do Espírito da Madeira 2.
SKILL_20150317_000145	Ataque Normal do Guarda.
SKILL_20150317_000146	Ataque Normal do Guarda 2.
SKILL_20150317_000147	Larga Explosão
SKILL_20150317_000148	Larga Explosão (Defesa)
SKILL_20150317_000149	Ataque Normal do Turret.
SKILL_20150317_000150	[Ridimed] Físico, Golpe, Propriedade Veneno, Ataca uma vez
SKILL_20150317_000151	Ataque do Goblin Lutador
SKILL_20150317_000152	Ataque Normal do Arbusto de Espinhos.
SKILL_20150317_000153	[Soldados de Combate] Ataque Combatente
SKILL_20150317_000154	[Soldados de Combate] Ataque Combatente 2
SKILL_20150317_000155	Habilidade do Zumbi Arqueiro.
SKILL_20150317_000156	Ataque Normal da Cadeira de Rodas Zumbi.
SKILL_20150317_000157	Habilidades da Cadeira de Rodas Zumbi.
SKILL_20150317_000158	Parede de Chamas
SKILL_20150317_000159	Cria uma Parece de Chamas que Inflinge Dano ao Contato com Inimigos
SKILL_20150317_000160	Explosão de Mina
SKILL_20150317_000161	Detona Minas Explosivas
SKILL_20150317_000162	Explosão Tóxica
SKILL_20150317_000163	Detona Minas Tóxicas
SKILL_20150317_000164	Explosão Claymore
SKILL_20150317_000165	Explosão Claymore.
SKILL_20150317_000166	Pular e Atacar
SKILL_20150317_000167	Fluxo de Vida
SKILL_20150317_000168	Grande Fluxo de Vida
SKILL_20150317_000169	Geleira
SKILL_20150317_000170	Após a Segunda Geleira
SKILL_20150317_000171	Semente Explosiva
SKILL_20150317_000172	Semente Explosiva.
SKILL_20150317_000173	Explosão de Chamas
SKILL_20150317_000174	Explosão de Chamas.
SKILL_20150317_000175	Nevasca
SKILL_20150317_000176	Chuva de Meteóros
SKILL_20150317_000177	Ataque Normal
SKILL_20150317_000178	Esmagar
SKILL_20150317_000179	Esmaga e Causa dano aos inimigos enquanto os empurra.
SKILL_20150317_000180	Projétil de Ataque
SKILL_20150317_000181	Ataque de Turret AOS
SKILL_20150317_000182	[Homem de Madeira] Ataque
SKILL_20150317_000183	Ataque da Salamandra
SKILL_20150317_000184	[Vubbe Mineiro] Físico, Cortante, Propriedade Terra, Balança a Picareta
SKILL_20150317_000185	Ataque da Estatua do Salão
SKILL_20150317_000186	Habilidades da Estatua do Salão
SKILL_20150317_000187	Ataque do Sacerdote 1
SKILL_20150317_000188	Habilidade do Sacerdote 1
SKILL_20150317_000189	[Aparição Verde] Mágico, Mágico, Propriedade Elétrica, Ataca uma vez
SKILL_20150317_000190	Ataque da Estátua 1
SKILL_20150317_000191	[Vubbe Ladrão] Físico, Cortante, Propriedade Terra, Ataque de Lança
SKILL_20150317_000192	[Vubbe Ladrão] Físico, Perfurante, Habilidade de Propriedade Terra
SKILL_20150317_000193	[Saurman Lanceiro] Ataque Normal.
SKILL_20150317_000194	[Saurman Lanceiro] Ataque Normal 2.
SKILL_20150317_000195	[Vubbe Arqueiro] Alcance, Perfurante, Propriedade Terra, Atirar Flecha Frontal
SKILL_20150317_000196	[Pokubu] Físico, Golpe, Propriedade Terra, Ataque Gancho
SKILL_20150317_000197	[Bagworm] Mágico, Mágico, Propriedade Veneno, Ataque Venenoso Frontal
SKILL_20150317_000198	[Bagworm] Longa Distância, Mágico, Propriedade Veneno, Tiro Venenoso a Distância
SKILL_20150317_000199	[Saurman Guerreiro] Ataque Normal.
SKILL_20150317_000200	[Saurman Guerreiro] Ataque Normal 2.
SKILL_20150317_000201	$Curar
SKILL_20150317_000202	Cura de Monstro
SKILL_20150317_000203	Ataque do Vubbe Miner
SKILL_20150317_000204	[Pokubu Selvagem] Ataque Normal.
SKILL_20150317_000205	Ataque Normal do Guarda.
SKILL_20150317_000206	Ataque Normal do Guarda 2.
SKILL_20150317_000207	Ataque Normal do Guarda 3.
SKILL_20150317_000208	[Vela Aranha] Físico, Golpe, Propriedade Sombria, Um Ataque com a Perna
SKILL_20150317_000209	[Vela Aranha] Físico, Golpe, Propriedade Sombria, Ataca com o corpo
SKILL_20150317_000210	[Vela Aranha] Físico, Golpe, Propriedade Sombria, Pula e Ataca com as Duas Pernas
SKILL_20150317_000211	[Sapo Alado] Físico, Golpe, Propriedade Veneno, Ataca uma vez
SKILL_20150317_000212	[Sapo Alado] Físico, Golpe, Propriedade Veneno, Ataque com Veneno uma vez
SKILL_20150317_000213	[Sapo Alado] Físico, Golpe, Propriedade Sombria, Empurra com uma Cabeçada
SKILL_20150317_000214	[Inseto de Folha Escura] Físico, Golpe, Propriedade Sombria, Ataca com o corpo
SKILL_20150317_000215	[Inseto de Folha Escura] Físico, Golpe, Propriedade Sombria, Ataca com Mordida
SKILL_20150317_000216	[Inseto de Folha Escura] Físico, Golpe, Propriedade Sombria, Pula e Ataca
SKILL_20150317_000217	[Golem do Cemitério] Físico, Golpe, Ataca com Propriedade Terra uma vez
SKILL_20150317_000218	[Drake] Físico, Cortante, Propriedade Fogo, Ataca uma vez
SKILL_20150317_000219	[Drake] Mágico, Mágico, Propriedade Fogo, Ataca com Fogo
SKILL_20150317_000220	[Grande Cockatrice] Físico, Perfurante, Propriedade Fogo, Ataca Duas Vezes
SKILL_20150317_000221	[Grande Cockatrice] Mágico, Perfurante, Propriedade Fogo, Voa e ataca com a cabeça
SKILL_20150317_000222	[Grande Cockatrice]
SKILL_20150317_000223	[Panto Shamam] Impacto Físico Normal
SKILL_20150317_000224	[Panto Shamam] Impacto Mágico de Propriedade Elétrica
SKILL_20150317_000225	[Panto Shamam] Magia de Propriedade Elétrica
SKILL_20150317_000226	[Bruxo Panto] Impacto Físico Normal
SKILL_20150317_000227	[Bruxo Panto] Impacto Mágico de Propriedade Elétrica
SKILL_20150317_000228	[Bruxo Panto] Magia de Propriedade Elétrica
SKILL_20150317_000229	[Moya] Físico, Impacto, Ataque de Propriedade Elétrica
SKILL_20150317_000230	[Moyabu] Físico, Impacto, Ataque de Propriedade Elétrica
SKILL_20150317_000231	[Bavon] Físico, Impacto, Ataque de Propriedade Terra
SKILL_20150317_000232	[Tanu] Corte Físico de Propriedade Veneno
SKILL_20150317_000233	[Zignuts] Impacto Físico de Propriedade Veneno
SKILL_20150317_000234	[Zignuts] Corte Físico Normal
SKILL_20150317_000235	[Moglan] Físico, Perfurante, Ataque de Propriedade Elétrica
SKILL_20150317_000236	[Moglan] Físico, Perfurante, Rotação de Propriedade Elétrica, Ataca Duas Vezes
SKILL_20150317_000237	[Denden] Físico, Impacto, Ataque de Propriedade Sombria
SKILL_20150317_000238	[Denden] Alcance, Mágico, Tiro de Propriedade Sombria, uma vez
SKILL_20150317_000239	[Doyor] Físico, Impacto, Ataque de Propriedade Veneno
SKILL_20150317_000240	[Doyor] Escudo Refletor Mágico
SKILL_20150317_000241	[Tipio] Impacto Físico Normal
SKILL_20150317_000242	[Tipio] Magia de Propriedade Veneno
SKILL_20150317_000243	[Rondo] Físico, Perfurante, Ataque de Propriedade Terra
SKILL_20150317_000244	Físico, Impacto, Propriedade Terra, Ataque
SKILL_20150317_000245	[Terranymph] Físico, Impacto, Ataque de Propriedade Sombria
SKILL_20150317_000246	[Venucelos] Físico, Impacto, Propriedade Terra, Ataque
SKILL_20150317_000247	[Venucelos] Físico, Impacto, Propriedade Terra, Ataca três vezes
SKILL_20150317_000248	[Golem Lápide] Físico, Impacto, Neutro, Ataque
SKILL_20150317_000249	[Golem Lápide] Físico, Impacto, Neutro, Esmaga
SKILL_20150317_000250	[Golem Lápide] Físico, Impacto, Neutro, Ataca Monstros que Estiverem Perto
SKILL_20150317_000251	[Wheelen] Físico, Perfurante, Ataque Perfurante Elétrico
SKILL_20150317_000252	[Wheelen] Físico, Perfurante, Rotação Elétrica, Ataca duas vezes
SKILL_20150317_000253	[Wheelen] Físico, Perfurante, Forte Ataque Perfurante Elétrico
SKILL_20150317_000254	[Rockter] Físico, Impacto, Neutro, Ataca com o corpo
SKILL_20150317_000255	[Caro] Físico, Cortante, Propriedade Veneno, Ataca Duas Vezes
SKILL_20150317_000256	[Vubbe Fighter] Uma vez, Físico, Impacto, Propriedade Terra
SKILL_20150317_000257	[Red_Kepa] Uma vez, Físico, Impacto, Propriedade Fogo
SKILL_20150317_000258	[Tiny] Físico, Cortante, Propriedade Elétrica, Ataca Duas Vezes
SKILL_20150317_000259	[Treeambulo] Físico, Impacto, Propriedade Terra, Ataque
SKILL_20150317_000260	[Spion] Físico, Impacto, Propriedade Veneno, Ataca Duas Vezes
SKILL_20150317_000261	[Bat] Físico, Impacto, Propriedade Sombria, Impacta com as Asas
SKILL_20150317_000262	[Shredded] Mágico, Mágico, Propriedade Sombria
SKILL_20150317_000263	[Yekubite] Físico, Impacto, Propriedade Gelo, Bate com a Cabeça
SKILL_20150317_000264	[Estátua Quebrada] Físico, Perfurante, Propriedade Elétrica, Impacto de Asas
SKILL_20150317_000265	[Cire] Físico, Impacto, Propriedade Elétrica, Ataque
SKILL_20150317_000266	[Treegool] Físico, Impacto, Propriedade Sombria, Ataque
SKILL_20150317_000267	[Ammon] Físico, Cortante, Ataque de Propriedade Terra
SKILL_20150317_000268	[Operor] Físico, Perfurante, Propriedade Veneno, Ataque Perfurante da Abelha
SKILL_20150317_000269	[Chafperor] Físico, Perfurante, Propriedade Veneno, Pierce
SKILL_20150317_000270	[Ravinelerva] Alcance, Mágico, Propriedade Veneno, Ataque
SKILL_20150317_000271	[Vesper] Físico, Impacto, Propriedade Sombria, Ataca com a Cauda
SKILL_20150317_000272	[Karas] Físico, Cortante, Propriedade Sombria, Ataque
SKILL_20150317_000273	[Echad] Físico, Impacto, Propriedade Terra, Ataque
SKILL_20150317_000274	[Shtayim] Físico, Impacto, Propriedade Terra, Ataque
SKILL_20150317_000275	[Tombsinker] Físico, Perfurante, Propriedade Sombria, Ataque
SKILL_20150317_000276	[Weaver] Físico, Impacto, Propriedade Terra, Ataque de Fumaça
SKILL_20150317_000277	[Hallowventer] Mágico, Mágico, Propriedade Sombria, Ataque
SKILL_20150317_000278	[Infro Rocktor] Físico, Impacto, Propriedade Terra, Ataca com uma Mão
SKILL_20150317_000279	[Meleech] Físico, Cortante, Propriedade Veneno, Ataque
SKILL_20150317_000280	[Infroburk] Físico, Impacto, Propriedade Fogo, Ataque
SKILL_20150317_000281	[Zolem] Físico, Impacto, Propriedade Terra, Ataque
SKILL_20150317_000282	[Incursor Kepa] Físico, Impacto, Propriedade Sombria, Ataque
SKILL_20150317_000283	[Mushcarfung] Físico, Impacto, Propriedade Sombria, Ataca com o Corpo
SKILL_20150317_000284	[Homem de Madeira] Físico, Cortante, Propriedade Sombria, Ataque
SKILL_20150317_000285	[Goblin de Madeira] Físico, Impacto, Propriedade Elétrica, Ataque
SKILL_20150317_000286	[Orca de Pedra] Físico, Impacto, Propriedade Gelo, Cauda de Gancho
SKILL_20150317_000287	[Orca de Pedra] Mágico, Aumentar Bloqueio, Buffa, Mágico
SKILL_20150317_000288	[Drape] Físico, Perfurante, Ataque de Propriedade Veneno,
SKILL_20150317_000289	[Infro Holder] Físico, Impacto, Propriedade Fogo, Ataque
SKILL_20150317_000290	[Repusbunny] Físico, Cortante, Propriedade Gelo, Ataque
SKILL_20150317_000291	[Armory] Físico, Impacto, Ataque de Propriedade Fogo
SKILL_20150317_000292	[Hound] Físico, Perfurante, Ataque de Propriedade Sombria
SKILL_20150317_000293	[Stoulet] Físico, Impacto, Ataque de Propriedade Sombria
SKILL_20150317_000294	[Lutador da Prisão] Físico, Cortante, Ataque de Propriedade Sombria
SKILL_20150317_000295	[Caro] Físico, Cortante, Propriedade Veneno, Ataque
SKILL_20150317_000296	[Maggot] Físico, Impacto, Propriedade Sombria, Ataca com o corpo
SKILL_20150317_000297	[Vubbe Perseguidor] Físico, Perfurante, Propriedade Sombria, Ataque Perfurante
SKILL_20150317_000298	[Meduja Vermelha] Mágico, Mágico, Propriedade Fogo, Ataque
SKILL_20150317_000299	[Avatar Helgasecle] Magia Sombria
SKILL_20150317_000300	[Filibo] Físico, Impacto, Ataque de Propriedade Veneno
SKILL_20150317_000301	[Ellom] Físico, Impacto, Propriedade Elétrica, Ataque de Fumaça
SKILL_20150317_000302	[Ellom] Físico, Impacto, Propriedade Elétrica, Esmaga
SKILL_20150317_000303	[Guerreiro Hogma] Ataque Cortante de Propriedade Fogo
SKILL_20150317_000304	[Hogma Arqueiro] Ataque Perfurante de Propriedade Elétrica de Longo Alcance
SKILL_20150317_000305	[Hogma Shamam] Mágico, Mágico, Ataque de Propriedade Fogo
SKILL_20150317_000306	[Merog Shamam] Mágico, Mágico, Propriedade Gelo, Ataque de Força a Distância
SKILL_20150317_000307	[Merog Needler] Alcance, Perfurante, Propriedade Veneno, Atira Dardos Venenosos
SKILL_20150317_000308	[Hogma Shamam] Mágico, Mágico, Propriedade Fogo, Ataque Barreira de Fogo,
SKILL_20150317_000309	[Merog Shamam] Mágico, Impacto, Propriedade Gelo, Impulso a frente
SKILL_20150317_000310	[Guerreiro Hogma] Físico, Impacto de Propriedade Fogo, Ataca Empurrando com Escudo
SKILL_20150317_000311	[Guerreiro Hogma] Buff, Mágico, Propriedade Fogo, Aumenta Bloqueio
SKILL_20150317_000312	[Merog Needler] Alcance, Perfurante, Propriedade Veneno, Pula e Atira Dardos Venenosos
SKILL_20150317_000313	[Comandante de Batalha Hogma] Corte Físico de Propriedade Sombria, Ataque
SKILL_20150317_000314	[Comandante de Batalha Hogma] Ataque Físico Perfurante de Propriedade Sombria
SKILL_20150317_000315	[Comandante de Batalha Hogma] invocar Monstros
SKILL_20150317_000316	[Lizardman] Físico, Impacto, Propriedade Elétrica, Ataque
SKILL_20150317_000317	[Chupaluka] Físico, Impacto, Ataque de Propriedade Sombria
SKILL_20150317_000318	[Ellomago] Físico, Perfurante, Propriedade Elétrica, Ataque
SKILL_20150317_000319	[Ellogua] Físico, Perfurante, Ataque de Propriedade Elétrica
SKILL_20150317_000320	[Ellogua] Alcance, Mágico, Tiro Elétrico
SKILL_20150317_000321	[Wendigo] Ataque Cortante de Propriedade Fogo
SKILL_20150317_000322	[Lizardman] Físico, Impacto, Propriedade Elétrica, Ataca com uma Cabeçada
SKILL_20150317_000323	[Kepari] Mágico, Mágico, Reduz ataques de Propriedade Fogo
SKILL_20150317_000324	[Kodomor] Físico, Impacto, Ataque de Propriedade Veneno
SKILL_20150317_000325	[Kowak] Físico, Impacto, Ataque de Propriedade Terra
SKILL_20150317_000326	[Groll] Físico, Perfurante, Propriedade Veneno, Ataque de Fumaça
SKILL_20150317_000327	[Groll] Físico, Perfurante, Propriedade Veneno, Perfura com o chifre
SKILL_20150317_000328	[Chupacabra] Físico, Impacto, Propriedade Sombria, Ataque
SKILL_20150317_000329	[Tama] Físico, Impacto, Ataque de Propriedade Terra
SKILL_20150317_000330	[Medakia] Mágico, Cortante, Ataque de Propriedade Sombria
SKILL_20150317_000331	[Lemur] Físico, Cortante, Ataque da Propriedade Gelo,
SKILL_20150317_000332	[Hogma Fighter] Corte Físico de Propriedade Elétrica
SKILL_20150317_000333	[Hogma Guard] Impacto Físico de Propriedade Gelo
SKILL_20150317_000334	Físico, Impacto, Propriedade Terra, Ataque de Uma mão
SKILL_20150317_000335	Mágico, Mágico, Cura no Chão
SKILL_20150317_000336	Físico, Impacto, Ataque de Corpo com Propriedade Terra três vezes
SKILL_20150317_000337	[Velho Gancho] Físico, Cortante, Propriedade Terra, Ataque
SKILL_20150317_000338	[Velho Gancho] Físico, Cortante, Propriedade Terra, Esmaga
SKILL_20150317_000339	[Velho Gancho] Físico, Cortante, Propriedade Terra, Ataque Rotatório
SKILL_20150317_000340	[Varv] Físico, Impacto, Propriedade Veneno, Ataque
SKILL_20150317_000341	[Phyracon] Mágico, Mágico, Propriedade Fogo, Atira com Propriedade Fogo três vezes
SKILL_20150317_000342	[Phyracon] Físico, Impacto, Propriedade Fogo, Ataque
SKILL_20150317_000343	[Phyracon] Mágico, Mágico, Propriedade Fogo, Sopro de Fogo, Ataca duas vezes
SKILL_20150317_000344	[Velho Gancho Vermelho] Físico, Cortante, Propriedade Fogo, Ataque Rotatório
SKILL_20150317_000345	[Velho Gancho Vermelho] Físico, Cortante, Propriedade Fogo, Esmaga
